IPAddress,Describe,Time,Forgiveness,Morality,Tone,valenceThen_1,intensityThen_1,Valence Now,Intensity Now,revenge_1,revenge_1,revenge_1,revenge_1,revenge_1,Revenge,avoidance_1,avoidance_1,avoidance_1,avoidance_1,avoidance_1,avoidance_1,avoidance_2,Avoidance,benevolence_1,benevolence_1,benevolence_1,benevolence_1,benevolence_1,benevolence_1,Benevolence,age,gender
98.221.203.107,"My then boyfriend who i was with at the time for 6 years cheated on me.  It was a really hard blow.  I loved him so much.  While he wasnt physical with the other girl he was lying to me about going to get drinks with her.  He was texting her on a seperate app,  I saw the texts, they werent sexual but if it wasnt bad then why hide it.  I was completely heartbroken.  I left our apartment and moved back in with my parents for 2 weeks.  He begged me to come back,  I told him only if i can meet this girl . He agreed, we met and although i absolutely hate her, she is a complete mess and said she liked me more then my boyfriend.  I stuck by him because i knew he would see what a mistake this all was, while my heart was shattered for years after, he was able to mend it piece by piece and we are now happily married with a 3 year old daughter.  I decided to forgive and it was the best decision i could have made.",41275,Yes,7,2,1,7,2,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,6,7,7,7,7,6.833333333,37,Female
172.56.65.100,"My ex boyfriend, whom I loved very much, constantly accused me of cheating on him and refused to believe that it couldn't be further from the trust. He arranged to have sex with someone in his home and intentionally left her lingerie in the bed so that I would find it while we were intimate, and said he did that to hurt me for cheating on him, which never happened. ",44044,Yes,7,1,1,7,1,7,3,4,6,2,5,4,5,2,7,3,5,6,6,4.857142857,5,5,6,7,3,4,5,52,Female
35.138.85.74,"My mother constantly crosses my boundaries and insults me for things that I've told her are not okay to say. She upset me earlier this year (2023), when she gas-lit me and made me believe that I said something over 5 years ago, when I never said it. She has a tendency to not remember things correctly and it really upsets me. When I try to correct her, she claims that I'm remembering things incorrectly and gas lights me. It makes me feel emotionally abused. ",45047,Yes,5,2,2,7,2,6,1,1,1,2,1,1.2,5,1,3,2,2,2,1,2.285714286,5,2,3,5,2,5,3.666666667,27,Female
64.29.86.223,"The past isn't really the past. As long as you carry it within you, it will be a part of your present and will affect your future. You will never be able to forget the person who hurt you and you will probably never forget how much it hurt.But once you forgive someone i have allowed myself to move on. Forgiveness won't come today. It won't come tomorrow or maybe even this year. But there will be one day when i feel that it's time to let it go, leave what happened behind in the past.",42064,Yes,5,3,6,5,3,5,6,5,5,6,5,5.4,5,3,2,5,2,1,3,3,5,6,5,5,3,5,4.833333333,40,Male
69.121.204.152,"around 6 years ago, my roommate brought home the woman I had feelings for and they canoodled inches away from where I slept (we shared a wall). The next day I yelled at him and made him cry. While he knowingly did something that would hurt my feelings, I felt bad making him cry, and I also dislike holding on to grudges, even if I am in the right. Grudges take too much energy, so I forgave him. He ended up getting ""me too'ed"" a few years later and lost his beloved theater job. I say he really got what was coming to him regardless of what happened between us.","September, 2018",Yes,6,1,1,6,1,6,2,4,7,1,3,3.4,4,6,7,2,3,5,6,4.714285714,2,5,2,4,4,5,3.666666667,33,Male
172.1.65.34,I was going through a hard time as my dad was just getting better from surgery. My uncle then went off about something so I started to yell at him. It hurt me quite a bit and I was nervous to be around him. He came back the next day and apologized. So did I.,"August, 2015",Yes,6,3,2,7,2,5,2,1,2,1,1,1.4,2,1,2,1,1,2,3,1.714285714,6,5,6,5,5,5,5.333333333,36,Male
73.233.229.101,"My previous partner and I had a large fight before calling off our wedding. In this fight he expressed feelings about my potential aptitude as a mother, my mental health, etc. in extremely unkind ways which affected my significantly emotionally. He also physically threatened me multiple times and backed me into a corner. I felt very unsafe and defensive and tried to remain calm, but obviously my actions contributed to his response in some way. I ended up forgiving him after 2 years of being apart because of the freedom it granted me, rather than whether or not it impacted our relationship or gave me closure. ",Oct. 2020,Yes,5,1,1,7,3,2,1,2,1,1,1,1.2,7,6,7,7,7,7,1,6,6,1,1,1,6,7,3.666666667,35,Female
172.56.208.77,"i remembered when i was sacked in my previous work 10 years ago because i decided to cover up for my collegue.
he reported me for his own benefit and i was sacked, it really touched me but i had to let go of the emotional pain and i forgave him", feb 2013,Yes,6,5,5,6,3,5,2,1,2,6,1,2.4,6,3,6,3,3,5,4,4.285714286,6,6,3,6,7,7,5.833333333,32,Male
108.52.54.99,"I parked my car in the high school parking lot. I got a call to go to the principal's office. There, I was told that someone had hit my car. I went to go out to look at it and saw a huge dent. The girl came forward and apologized. While I was upset that my car was hit, and the accident was very inconvenient, I accepted the girl's apology.",43344,Yes,2,3,2,5,3,3,1,1,4,1,1,1.6,2,5,2,3,3,4,2,3,6,4,4,3,6,2,4.166666667,23,Female
144.163.32.76,Had a bad divorce that was not my fault. In the end I forgave the person and wished them nothing but the best. After being quiet for a few years we have been able to be friends and can speak to each other again.,42156,Yes,7,7,3,6,6,6,1,1,1,1,1,1,1,1,3,1,1,1,1,1.285714286,7,4,5,4,4,4,4.666666667,54,Male
75.83.187.234,"Last Christmas my neighbor was invited to join us for snacks and drinks. She had already been drinking and maybe was insecure around my family. She proceeded to insult me several times in a ""joking"" manner, causing me to become defensive, and other guests to chime in. It ruined the mood and really hurt my feelings. I spoke to her about it a couple weeks later and she apologized so I forgave her. ",44896,Yes,6,3,3,5,4,2,1,1,1,1,1,1,1,1,2,2,1,5,5,2.428571429,7,7,7,7,7,7,7,62,Female
69.245.29.65,"My husband unexpectedly left me. It absolutely wrecked me emotionally. I was completely devastated. However, time passed, and the strong emotions faded. I'm doing okay now and I can understand why he left. I have forgiven him, and see that divorce was best for the both of us.","April, 2022",Yes,7,1,1,7,2,5,1,1,3,1,1,1.4,2,6,1,4,5,6,3,3.857142857,7,4,2,3,7,2,4.166666667,35,Female
69.124.59.163,My mom hurt my feelings when she yelled at me and called me a b*tch within the past year. She has dementia and so she acts like a child and I was trying to help her with something and she got defensive and hurt my feelings. I ended up forgiving her because she can't control her behavior but I will never forget it.,44986,Yes,2,2,1,5,3,2,1,1,1,1,1,1,6,3,7,6,1,6,6,5,7,4,6,6,3,5,5.166666667,22,Female
68.116.85.163,"I had a close friend and we were very flirtatious with each other at times. It got to the point where there was some obvious chemistry and we ended up hooking up after a night of drinks  and we both admitted feelings. Well after a few days she completely spooked out and regretted everything and said she saw me only as a friend. I was hurt by this because everyone knew it wasn't true she was just trying to distance herself from me because she's afraid of being in a relationship. I kept wondering what her actual issue was, i was blaming myself but at the end of the day after some time had passed I opened the door to being friends again because genuinely we had a great platonic friendship before we even did anything romantic.",42644,Yes,1,2,1,2,5,1,1,1,2,1,1,1.2,2,5,6,6,5,6,1,4.428571429,7,3,5,5,7,5,5.333333333,31,Male
76.130.97.26,I WAS INTERVIEWING FOR A NEW POSITION IN THE DEPARTMENT I WORK IN AND I FELT THIS WAS AN IMPORTANT STEP IN MY CAREER DEVELOPMENT.  MY SUPERVISOR INTERVIEWED PEOPLE FROM INSIDE AND OUTSIDE THE COMPANY. HE HAD HIRED ME A YEAR AGO AND I THINK HE WANTED ME TO BE THE BEST CANDIDATE FOR THE PROMOTION. HE HAD SPENT A LOT OF TIME AND ENERGY DEVELOPING MY SKILLS AND LED ME TO BELIEVE I HAD MADE PROGRESS TOWARD A PROMOTION AND INCREASE IN SALARY. I FELT MY INTERVIEW WENT GREAT AND COULD HARDLY WAIT TO FIND OUT WHO GOT THE PROMOTION.  AFTER FINISHING THE INTERVIEW PROCCESS HE PICKED ANOTHER PERSON FROM INSIDE THE COMPANY WHO I HAD COMPETED WITH FOR TOP SALES EMPLOYEE. FOR AN EXPLANATION AND HE JUST SAID I WAS NOT THE BEST CANDIDATE. I SET UP A MEETING WITH HIM AND HE EXPLAINED WHAT I NEEDED TO ACCOMPLISH TO GET THE NEXT PROMOTION AND I FELT HE WAS HONEST SO I ACCPETED HIS COMMENTS AND FORGAVE HIM FOR THE DECISION ME MAKE.,"SEPTMEBER, 2021",Yes,6,2,2,6,6,2,1,1,1,1,1,1,2,1,2,1,1,1,2,1.428571429,6,6,7,7,6,6,6.333333333,54,Female
131.150.170.130,Well my brother was off living with his girlfriend and doing a lot of drugs. I was suppose to have an extensive heart surgery that would require me to stay in the hospital for a year. Beforer the surgey my parents threw me a goodbye party. My brother never came to that party and never called to ask how I was. Forgently at the last minute they cancelled my surgey because I might die and no might not work. ,fall 2016,Yes,7,1,2,7,1,7,1,1,1,1,1,1,1,1,3,1,1,1,1,1.285714286,7,7,5,7,7,7,6.666666667,32,Female
24.189.80.126,A time in where someone has harmed me emotionally was my brother. We were young at the time and he said some really mean things to me. I didn't forgive him for a very long time until recently when I was thinking about my life and where it was going. I just needed to sort things it out and that relationship was one of them.,37956,Yes,5,2,2,2,2,2,3,4,5,5,4,4.2,4,4,5,5,4,5,4,4.428571429,3,5,3,4,3,5,3.833333333,32,Female
216.212.65.214,i had a friend once who i didnt know well but was getting to know better. she was a bright person. at some point she told me she didnt want to be friends anymore and that hurt me. i had thought we were getting close. i ended up forgiving her because she had good reasons for not wanting to be friends with me at that moment. i just didnt realize that at the time.,43466,Yes,2,5,2,4,5,2,1,1,1,1,1,1,3,4,1,2,1,2,2,2.142857143,7,6,6,6,7,7,6.5,35,Female
65.26.50.99,"My husband who was my fiance at the time, had developed a friendship with a waitress near his work. It was innocent until it wasn't and it tore me apart completely. I was angry and devestated and jealous that he had talked about kinks with her. It took me a good year to finally forgive him and be okay. I have borderline personality disorder so this had felt like betrayal to the limit. It took a lot of work on his part to open up to me, and me to practice compassion and forgiveness.","Jan, 2018",Yes,7,2,1,7,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,7,6,7,7,6.333333333,36,Female
107.2.78.155,"I friend betrayed me by lending money to help out a woman that has actively trashed me to other people publicly, then denied helping her to my face. When I presented this friend with written evidence that they did lend this woman money (that this chick never paid back, by the way,) they had nothing to say. I stewed over it for a couple of years, but ended up forgiving my friend. It helped that this woman went on to totally fuck my friend over. That made me happy and sort of was how I was able to forgive (but not forget.)",42125,Yes,5,2,1,7,4,4,2,1,4,1,1,1.8,2,1,4,3,1,1,3,2.142857143,4,4,4,5,6,6,4.833333333,57,Female
99.74.30.184,My best friend invited me to come and sleep over at her house. As she took a bath later that night she wrote a letter to my boyfriend that he should break up with me because I’m not right for him and that he should be with her. It also came out that she was abusing drugs at the time. I eventually forgave her and we stopped fighting. We don’t talk anymore but we are cordial. ,44166,Yes,7,2,1,7,3,5,2,1,2,1,2,1.6,5,1,3,1,2,3,3,2.571428571,6,5,6,5,6,5,5.5,27,Female
136.226.74.112,"When I was a Senior in High School, my boyfriend went to a party I was not at. At the party, I heard of things occurring physically with another girl in my grade. I was hurt, knowing if I was there the action would not have occurred, as well as had my trust in this person broken. My boyfriend was overcome with sadness and shame, apologizing endlessly. At that point, I knew this would not be my life long partner, however, selfishly, I did not want to disrupt the rest of my year with the drama, so I forgave him.",41275,Yes,6,3,2,5,3,2,5,1,1,1,1,1.8,2,1,7,7,6,5,5,4.714285714,6,6,2,2,5,6,4.5,28,Female
47.183.185.26,"It was my ex boyfriend.  He said some things to me during an argument that were very emotionally damaging.  It hurt me very badly, and I still think about it.  He also embarrassed me very much at work and damaged my reputation. It took several months, but I ended up forgiving him and now we are good friends.","October, 2018",Yes,6,2,1,7,2,6,1,1,1,1,1,1,1,1,6,1,1,1,1,1.714285714,7,7,7,7,7,7,7,48,Female
206.190.198.52,"A close friend was very insulting towards me several months ago. The friendship effectively went on pause for some number of months, as I personally deemed the friendship not worth any effort. The friendship has since been mended. The relationship dynamic is still slightly different but is in a better state now than prior.",45078,Yes,4,3,3,5,3,4,3,3,3,4,3,3.2,5,4,5,5,5,5,5,4.857142857,5,4,4,4,4,4,4.166666667,33,Male
74.141.57.113,"Someone I really cared about hurt me a lot. They said things that really cut me fairly deep. It was really tough to deal with all the pain and anger that I was left with from this. But as time passed, I realized that holding onto those feelings was only going to make things worse for me. So, I decided to forgive them.",43831,Yes,5,3,3,5,5,3,1,1,3,1,1,1.4,3,2,5,4,2,2,3,3,4,6,7,3,6,5,5.166666667,36,Male
104.174.5.73,"My mom has been in and out of rehab several times, and each time she promises to do better, she does the very worst, she stole some money I had saved in my room and used it on drugs knowing I would forgive her and not report it.",44866,Yes,6,1,1,7,1,4,2,2,6,2,1,2.6,6,2,7,6,2,7,7,5.285714286,6,4,4,1,2,4,3.5,40,Male
35.147.36.121,"In high school, my boyfriend cheated on me. I tried to leave his house, but I wasn't the one driving. I tried to open the car doors and he was holding my wrists down so I couldn't move. I was crying and he was saying I was crazy and lying to hide his infidelity. I took him back the next day. ",43556,Yes,7,1,1,7,2,4,5,5,5,5,6,5.2,7,6,7,7,7,6,7,6.714285714,1,1,1,1,3,1,1.333333333,21,Female
72.89.6.17,"My ex-boyfriend lied, cheated, manipulated and was very emotional abusive to me over the span of our 5 year relationship. After we broke up I refused to speak to him for years, although he wanted to be friends. I ended up forgiving him after a few years and today we are on good terms. I realized that we were both very young and he's done the work to be a better person and improve. I do think that he still has more work to do and I am hopeful that he will continue that journey. While I've forgiven him for his mistakes ad we are friends now, the trauma I have will never go away, and I would never be able to be with him again in the future, eventhough he's expressed the desire to be more.",42036,Yes,7,1,1,7,3,3,1,1,4,1,1,1.6,3,1,6,2,4,5,5,3.714285714,7,7,6,6,3,6,5.833333333,33,Female
23.112.24.172,"A few years ago on my 23rd birthday, I found out my girlfriend (at the time) was cheating on me. I actually found out about it at my own party where a friend happened to stumble upon a keychain that he knew belonged to one of our mutual friends. I confronted my girlfriend about it, and she gaslit me into believing that I was crazy for thinking she was cheating. We stayed together for another 3 months until I caught her with our mutual friend at a restaurant when she said she was out of town visiting her parents. We broke up on the spot, and it took a long time to forgive her for that. Just last year, we spoke again and she apologized for her actions. I forgave her, but it is still difficult for me to trust other people to this day.","May, 2019",Yes,7,1,1,7,1,6,5,5,5,2,2,3.8,5,3,7,3,7,5,5,5,3,5,1,3,5,3,3.333333333,27,Male
75.188.244.45,"Several years ago I took in a gay man whose parents cut him off emotionally and financially, for being gay. He lived with me for a few years, then when he bought a house, I moved in with him. He is a hoarded and most likely a sociopath, he rented our third floor to a grifter who had Grinder dates over all the time who stole from us - T. was unrepentant, indignant, about the situation, so I had to move out to a studio of my own (I teach children from home and this became a not-safe environment). The emotional toll was staggering and the financial one, the move itself, was enormous. But I've been studying Buddhism and it has helped me to put only Good thoughts into the universe, and that forgiveness is Key. I'm really, really trying to forgive him.",44378,Yes,7,3,1,7,3,4,3,2,3,3,3,2.8,6,5,7,6,4,5,5,5.428571429,4,5,3,4,3,3,3.666666667,49,Female
74.133.10.237,"My friend actually punched me one time.  We were partying and he thought I was trying to steal his gf.  I was not at all, and have no idea why he even thought that.  I allowed him to punch me and I kind of just went on with the night.",42491,Yes,4,4,4,5,4,3,5,3,3,3,3,3.4,2,3,3,3,2,3,3,2.714285714,3,5,5,3,2,5,3.833333333,34,Male
174.166.177.192,Someone would not talk to me for a few months over a situation that I had no control over. I know that I did nothing wrong and did my best to honor a request but it was out of my hands after that as it was up to someone to grant it. I was really hurt and we did end up talking eventually but not sure we ever discussed the issue again. I did try to reach out during those few months. I forgave the person regardless that I did nothing to deserve the treatment. I know they were dissapointed about not getting what they wanted but I believe that they should have been more understanding than just quit communication.,41548,Yes,5,3,1,7,4,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1.142857143,7,7,7,7,7,7,7,66,Female
47.161.9.188,"My brother has some mental health issues. When I was 17, he got mad at me over chores. He was supposed to do the dishes and had not done them; I knew my mom would be home within an hour or two so I reminded him of his task. This ended up escalating to him chasing me around the house with a butchers knife. He didn't harm me too bad but I did get cut up and had to leave the house and call the police. ","August, 2015",Yes,7,1,1,7,2,6,1,1,1,1,1,1,5,2,5,5,2,5,2,3.714285714,4,5,2,1,3,2,2.833333333,25,Female
50.96.10.208,My ex boyfriend was very awful to me. He would yell at me and drink too much. We got into physical altercations. This was 8 years ago. I have since forgiven him as he is mentally unwell.,42156,Yes,5,2,2,7,2,2,1,2,2,2,2,1.8,2,3,6,2,2,3,6,3.428571429,6,6,5,5,6,6,5.666666667,35,Female
173.184.97.147,"There was an incident where a relative harmed me emotionally. She was very verbally abusive, trying to heap guilt on me for something I didn't do. She said awful things to me, accusing me of things I didn't do. She was manipulative and extremely hurtful. I was harmed by this, and didn't want anything to do with her ever again. But after some time, I decided to forgive her because she was family, and I couldn't avoid her forever ",44682,Yes,7,1,1,7,2,5,1,1,2,1,1,1.2,4,1,7,5,2,5,6,4.285714286,3,4,4,4,3,5,3.833333333,60,Female
12.192.46.118,"My ex-girlfriend cheated on me. She confessed to it right away and apologized profusely, which - after much personal anguish and deliberation - prompted me to give her another chance. We tried for a few months but it was never the same, and I realized we weren't going to work so I broke it off. But I still forgave her for what she did.",43922,Yes,7,1,1,7,2,2,1,2,4,1,1,1.8,7,6,5,7,7,7,5,6.285714286,3,1,1,1,6,1,2.166666667,32,Male
158.62.186.140,"My younger sister frequently disrespects my partner. A couple of weeks ago she did it again. Originally I flew off the handle, and made the situation worse. However, a couple of days later, I apologized and forgave my sister for her behavior. Everything is good now.","October, 2023",Yes,7,4,1,7,1,7,1,1,1,1,1,1,1,1,4,1,1,1,1,1.428571429,7,7,7,7,7,7,7,30,Male
131.93.49.27,My brother was really mad at me. He had me pinned against the wall. He swung to punch me but I ducked. He hit the wall hard.,38200,Yes,7,2,2,6,2,3,2,3,2,2,2,2.2,4,2,3,3,2,3,3,2.857142857,4,5,5,5,6,6,5.166666667,52,Female
68.131.104.126,"A person I was dating in high school broke up with me when we went to college together.  I was not the ideal boyfriend but I still felt betrayed by my emotions. I ended up getting very bitter about it for a while, but eventually I forgave and forgot.  It really helped me grow as a person and made me into who I am today.",41153,Yes,2,3,1,5,3,2,1,1,1,1,1,1,5,1,1,6,1,2,5,3,6,3,1,1,1,1,2.166666667,29,Male
108.45.29.6,A friend told me that they did not care when I was expressing that I was having a difficult time in life and it very much hurt. They just scooted around the subject and when I told them that was hurtful they lashed out and told me that I was killing the vibe.,43922,Yes,6,2,2,6,2,5,1,1,1,1,1,1,1,2,4,3,1,1,1,1.857142857,6,6,3,5,7,7,5.666666667,27,Male
68.191.107.199,"My wife backed out on a trip with me, saying she wasn't ready to leave our son at grandparents house overnight, but a week later said she was going on a trip with some friends.  I felt very disrespected.  I was very frustrated.  I eventually forgave her after she realized how much it hurt me.",43497,Yes,4,4,4,4,4,4,4,4,1,1,1,2.2,4,4,1,1,1,1,1,1.857142857,4,4,4,7,7,4,5,36,Male
167.248.21.2,"When I was in my late teens and early twenties, I was in a long-term relationship. We ended up breaking up and it was somewhat of a messy ending. My former partner said a lot of hurtful things to me and overall, our romantic relationship was not a healthy one. I held a lot of resentment for a long time and it took me a while to heal from it. As we both got older, we got back in touch and were able to have a nice long talk about our relationship. He apologized for his behavior, and looking back, we were both so young and immature. We have a good friendship to this day.",39753,Yes,5,2,1,7,3,3,1,1,1,1,1,1,2,6,2,3,2,4,1,2.857142857,7,6,6,5,7,5,6,35,Female
130.44.143.14,I got into a fight with my brother a couple years ago. He hit me. He harmed me physically. I forgave hima after.,44378,Yes,6,2,2,6,2,6,2,2,2,2,3,2.2,3,1,2,3,2,2,2,2.142857143,6,6,6,6,6,2,5.333333333,45,Male
47.151.37.95,This person harmed me emotionally through social media. I met this person from another friend of mine at a party. I believed we were getting along and having a good time. The next day I received messages from him to stay away from his friends and himself. I was emotionally hurt by these statements and wanted to fix the issue. It was only after several weeks later when we hang out more that he believed I was a good man and apologized for his rude behavior.,43191,Yes,7,2,2,6,1,6,2,2,2,2,2,2,2,2,3,1,2,2,2,2,6,6,6,6,5,3,5.333333333,32,Male
108.176.216.10,"I had a best friend of mine for 35 years who we were close like sisters. One day all of a sudden she no longer called me, visited me and walked out of my life. We had not had a fight nor any issues so I didn't understand why she avoided me and no longer spoke to me. Three years later I ran into her in a store and she said she wanted to talk to me about what happened. She claimed the reason she stayed out of my life is because she was able to have kids and I couldn't due to infertility issues. I was so hurt over that","August, 2018",Yes,7,1,1,7,1,5,1,1,1,1,1,1,1,1,3,1,1,1,1,1.285714286,5,5,7,7,6,6,6,52,Female
100.16.83.165,"I told my friend that her stealing thousands of dollars from her mother was wrong. She attacked me physically (punching me in the face and head, pushing me down and kicking me in the back). She was verbally attacking my lifestyle (stay-at-home-mom) and was saying terrible things about my children (they were worthless, I was stupid for having 'them things', they were degenerates, etc). I ended up forgiving her five years later because I found out that she had a tumor on her brain that was causing her to act the way she was. ",41671,Yes,7,1,1,7,1,6,5,1,4,4,5,3.8,7,7,7,7,7,7,7,7,7,4,4,4,1,1,3.5,38,Female
174.24.77.26,My family member verbally and physically attacked me. He came at me for no reason other than that he was unhappy and taking out his anger on me. He treated me like I was abusive myself when I tried not to attack back at all. I chose to forgive him because I know he's a lot less perfect than me. ,45261,Yes,7,3,3,5,5,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1.142857143,7,7,7,7,7,7,7,43,Female
172.56.97.14,"In July 2019, I discovered that my partner had cheated on me with a close friend. The emotional pain was overwhelming, and I initially felt a mix of anger, betrayal, and heartbreak. Confronting them was difficult, but over time, I chose to forgive both of them for the sake of my own healing.

I realized that holding onto resentment was only harming me further, and forgiveness became a way to release the heavy burden of negative emotions. It was a gradual process, and it took months of introspection and open communication with both individuals involved. Eventually, I found it within myself to let go of the hurt and move forward, focusing on personal growth and self-love. Looking back, the memory is bittersweet, but the act of forgiveness has allowed me to rebuild trust and find happiness again.","Mars, 2021",Yes,6,5,3,5,5,6,3,2,5,6,5,4.2,5,5,5,3,6,6,5,5,3,3,6,5,5,3,4.166666667,54,Male
174.101.36.103,"I was hanging out with a group of friends at the movies. While I was there a friend of mine made fun of me for something embarrassing. Everyone laughed at the joke and it made me feel ashamed and sad. However, I let it go and forgave them for the joke.",42095,Yes,6,2,2,6,4,2,2,2,3,2,1,2,4,1,5,2,2,2,3,2.714285714,4,5,4,4,6,4,4.5,34,Male
24.62.150.254,In my senior year of high school my father came home drunk one night. He was abusive towards my mother. I intervened accusing him of being an irresponsible partner and parent. His response to me was the harshest I have ever imagined. A parent should not speak to a child like that. Later he apologized and I told him I forgive him but I am not sure I fully do/did.,40299,Yes,7,2,2,6,1,6,1,1,1,1,1,1,2,2,6,2,2,5,5,3.428571429,4,4,2,3,3,4,3.333333333,31,Male
71.239.201.96,"My first (and last boyfriend) was a year younger than me and we met on the cross country team. We hung out (NEVER sex), went to homecoming and talked often. We broke up after 3 weeks and he told my bestfriend not to give me his new number. 3 months later, I went to his Facebook page where I saw a ""congratulations"" wall post. He had just had a son and his baby mother didn't go to our school so that's why I didn't know.","October, 2013",Yes,6,4,1,1,4,1,1,1,2,1,1,1.2,5,7,4,2,6,7,2,4.714285714,5,4,3,1,7,4,4,27,Female
24.62.104.67,This friend was one of my closest friends.  We have many friends in common.  I had found out that this friend was talking really bad about me behind my back regarding a certain situation. The friend was always so nice to me regarding this situation and would never show any negativity. When I confronted the person after finding out I realized I should just forgive them this one time. Even though my feelings were really hurt and I had lost some trust I did forgive them for talking so badly behind my back.,45149,Yes,6,2,1,1,3,3,1,1,1,1,1,1,2,2,2,2,1,2,2,1.857142857,7,6,6,2,6,2,4.833333333,48,Male
