att_check,Instructions,Condition,describe,timePerp,checkwant1,moral_1,dim_1,color_1,visualDetail_1,sound_1,smell_1,touch_1,taste_1,vivid_1,detail_1,comprehensible_1,complex_1,realistic_1,location_1,setting_1,spatialArrangementOb_1,spatialArrangmentPeo_1,time_1,year_1,season_1,day_1,hour_1,long_1,tone_1,implications_1,implicationsNow_1,felt_1,valenceThen_1,intensityThen_1,valenceNOw_1,intensityNow_1,thoughts_1,reveal_1,before_1,after_1,accuracy_1,oftenThought_1,oftenTALKED_1,age,gender,Q180,effort
8,1,for,"An instance I remember where someone harmed me physically was 5 years ago when I was at the park and somebody tried to steal my skateboard. I was skating around a bit before I decided to leave my skateboard next to a tree before heading to my car to get something. On my way back to the tree, I saw a guy grab my skateboard and run. I chased after him and he turned around and swung the skateboard at me, hitting me in my forearms as I brought my hands up to cover myself. I grabbed the skateboard and yanked it out of his hands, and then I tackled him to the ground. On the ground, he apologized profusely and almost started to cry. My anger slowly washed away as I started to feel really bad and told him to just go despite him striking me and bruising my arms pretty badly.","February, 2018",1,6,7,7,7,7,2,7,1,7,7,7,1,7,7,6,5,5,4,7,5,4,6,2,2,7,5,7,1,7,2,6,7,6,7,5,7,7,6,26,1,1,15
8,1,for,"A few years ago, I got into an argument with my brother and it got a little too heated. We were arguing the point for the most part, but I got personal from his end. He started making fun of something I'm very sensitive about and didn't show remorse.. After that, we hadn't spoken for months. It wasn't until he reached back out to me (I wasn't expecting it at all) that we talked over the situation and I forgave him.","January, 2020",1,5,6,6,6,7,2,1,1,6,6,6,6,7,7,7,7,7,6,6,6,6,5,3,1,7,6,7,1,7,3,5,5,7,2,2,6,5,2,27,1,1,15
8,1,for,My previous partner in my relationship hurt me when they did not respect my job. They emotionally belittled my work and treated it as something that was not important enough to be worthy of my focus and time. They made it seem like being at work and wanting to focus on my job was not something that was allowed when they were needing something. They made me feel like I had to pick between the items and when I was working that I needed to have this person in the back of my head at all times.,22-May,1,5,6,3,5,1,1,1,1,4,4,5,3,7,3,5,5,4,3,5,3,3,3,2,2,3,3,5,2,5,2,3,2,3,4,3,3,3,2,28,1,1,15
8,1,for,A girlfriend of mine chose to breakup with me.  It took me a long time to get over her because she was my first.  The relationship was often messy and it was difficult to see it end.  We had an on and off again relationship for a while until we finally decided to end it,21-May,1,2,5,7,3,2,2,5,1,5,4,5,5,6,5,5,3,2,2,5,2,1,2,5,3,6,2,5,2,5,5,2,3,5,1,4,3,5,2,30,1,1,15
8,1,for,I had moved out of town several months prior and came back to spend a week at my best friend's place. When his long distance boyfriend found out that I was there he acted as if it was an annoyance and I didn't have a right to be there. It took a few hours of him constantly pestering my best friend on when I would be leaving as if I was only allowed to pop in for a quick visit when we had planned an entire week of time to spend together. After a few hours my best friend asked me to leave instead of putting their foot down with their significant other.,16-Apr,1,6,7,7,7,7,1,2,1,6,6,7,2,7,7,7,6,7,7,6,7,7,3,6,1,5,5,7,1,6,2,2,6,7,6,7,7,3,2,30,1,1,15
8,1,for,I had a family member act extremely nasty towards me and my wife after their spouse passed away. I'm not sure why but they decided to take it out on us. At first it was snide comments and eventually it got to a point where I was going to seriously hurt this person. I forgave them in my heart but I won't ever be around an abusive person like that again.,18-Sep,1,7,7,2,5,7,1,1,1,7,7,7,7,7,7,7,5,6,5,7,7,7,7,2,1,6,7,6,1,7,1,5,7,4,3,5,7,3,2,30,1,1,15
8,1,for,My old roomate broke a lease with me. He was on drugs and didnt want me getting on his case. Really pissed me off because I had to pay most of it. Hes clean now and I forgave him.,15-Dec,1,5,6,5,5,4,2,2,2,6,6,6,5,7,7,6,5,6,5,6,6,2,3,3,2,6,5,6,2,5,2,3,6,2,5,5,6,2,2,31,1,1,15
8,1,for,My girlfriend at the time cheated on me. She left me a text message I got in break overnight at work with her telling me about doing it. It had me very frustrated at first until I got off of work and had some time to think about the situation. I foolishly forgave her and she continued doing it after that and it was very unhealthy for me at the time. Years later now and not being with her I still feel like I forgive her for that but I wasn’t able to completely forget it which is why I ended that relationship.,"March, 2015",1,7,7,6,5,2,2,4,3,6,6,4,2,7,6,6,6,7,6,7,7,7,6,6,1,6,6,6,1,6,6,3,7,3,6,6,6,4,5,31,1,1,15
8,1,for,"I remember the pain and suffering I experienced when my ex-boyfriend, Jake, emotionally and physically abused me. I was trapped in the toxic relationship, hoping that he would change and that our love would conquer all.

However, things took a turn for the worse when Jake crossed a line and physically hurt me. I had to end the relationship and file a police report, which resulted in Jake being arrested and charged with assault. I felt a mix of emotions, including anger, resentment, and betrayal.

Over time, I realized that holding onto these negative emotions was not helping me heal and move on from the trauma. I decided to attend therapy to work through my emotions, and eventually reached a place where I was able to forgive Jake. Forgiveness was not about excusing Jake's behavior or forgetting what he had done; it was about releasing myself from the hold that the trauma had on my life.

Through therapy and forgiveness, I was able to move forward with my life and find happiness in healthy relationships. I learned that forgiveness was a powerful tool that could bring healing and growth, and that it was possible to forgive even the most painful of experiences.","May,2013",1,6,6,1,5,5,5,5,5,5,5,6,5,5,5,6,6,5,6,5,5,6,6,6,5,6,6,5,6,5,6,5,6,6,6,6,6,6,6,32,1,1,15
8,1,for,"This was about 3-4 years ago, i have a friend who i've known since middle school and he moved away from the town we met and i stayed. He comes and visits time to time with his wife and we always gather and go out to places or just hang out at my  home. Well one night it was him, another friend, and myself and we were all drinking at my home and discussing random topics. At one point (i don't even remember what we were talking about) i had said something that he must have misheard and he started to get real vocal and angry about it. He was obviously pretty drunk at the time and our other friend and i weren't and we were trying to talk him down and tell him he misheard what i had said. Well he wasn't having it, as he can be pretty stubborn, and he swung and punched me in the face. It wasn't too hard or anything but the intention was clear and i did my best to not retaliate and kept my cool until we were able to calm him down. The next morning he apologized profusely and kept saying that he had too many, to which i completely understood and forgave him.","September, 2019",1,5,5,2,7,5,5,7,4,6,6,6,3,7,7,7,6,6,5,5,5,5,4,3,3,1,1,6,2,5,4,1,5,5,5,6,6,2,1,32,1,1,15
8,1,for,About 6 years ago I was dating someone. She insulted me and wanted to break up with me because of who I voted for during the election. This was upsetting and harmed me emotionally because it was irrelevant and subjective. I later forgave her and we talked about it. but at the time it was annoying and upsetting. ,17-Aug,1,3,6,5,6,2,1,1,1,5,6,3,3,7,6,6,5,5,4,5,5,3,3,3,3,5,3,5,2,4,3,2,5,3,3,4,5,2,2,32,1,1,15
8,1,for,"I've worked in the IT field for the past 9 years and I can recall a memory from about 4 years ago when a colleague, who I had been working closely with on a project spoke rudely to me in front of our team during a meeting. This left me feeling embarrassed and hurt, and I couldn't stop thinking about it for days. However, after some time had passed, I realized that holding onto the anger and resentment was only hurting me. I decided to have a conversation with my colleague to express how I felt and to listen to their perspective. Through our discussion, I came to understand that my colleague was under a lot of stress and was feeling overwhelmed, which led to the outburst.","March, 2019",1,6,5,4,6,7,2,1,1,5,6,7,3,7,6,7,2,5,5,6,5,5,3,5,4,5,2,5,2,6,6,2,5,6,2,6,6,2,3,32,1,1,15
8,1,for,In last year Joined in one beautiful girl in my office she is normally good behavior is very well suddenly  she is one day attend the party more enjoyable finally sex that person  and more loved but she is cheating for me she is loved to another one person and more activities I am hurt and feeling high,22-Mar,1,5,6,3,5,6,5,6,5,6,5,6,5,5,6,5,6,5,6,5,6,5,6,5,5,6,5,5,6,5,6,5,6,5,5,6,3,5,6,32,1,1,15
8,1,for,There was a time in my past were someone I love broke my heart and I was heartbroken and devastated and emotionally down I went through a lot but I later forgave that person who broke my heart and moved on in life.,May.2018,1,5,5,5,5,5,4,5,3,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,3,5,5,5,33,1,1,15
8,1,for,I got into a physical altercation with a friend over plans we were making. I felt that he was being unreasonable and he responded violently.   We  fought a little bit before it was broken up.   I knew that he was dealing with other things and it wasn't about me when it happened.  He gave me a genuine apology later in the week and I felt he was sincere so I accepted it.,16-May,1,6,5,6,5,3,2,6,2,6,6,6,5,5,6,6,5,6,6,6,6,5,6,6,2,3,2,6,2,5,4,2,6,3,5,5,6,3,2,33,1,1,15
8,1,for,one issue that occurred just recently was trying to get my rent deposit back from my landlord. He said it would be a week. Then he said he'd do it Sunday. I had almost to beg to get it back. I tried to nail down a timely transition but he wasn't on it like I was. almost didn't make my rent payment as well as insurance.,23-May,1,5,7,7,7,7,1,1,1,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,1,7,1,7,7,5,5,5,7,7,7,33,1,1,15
8,1,for,I had a girlfriend who cheated on me during our relationship. This was a very painful event as my trust was broken and I was hurt by her actions. I spent a lot of time being angry after ending the relationship due to this situation. I ultimately decided that I needed to forgive her I would never be able to move on.,17-Dec,1,7,7,7,7,1,1,1,1,6,6,6,2,7,7,6,6,6,6,6,6,5,4,6,1,7,7,7,1,7,3,3,6,4,3,6,6,3,2,34,1,1,15
8,1,for,"One day, I was feeling emotionally vulnerable and reached out to a close friend for support. But instead of offering me a listening ear, they launched into a torrent of cruel words that cut deep. I was stunned and hurt by my friend's callousness, and it took me a long time to heal from the emotional wounds they inflicted. Despite the pain, I eventually forgave my friend for their words and actions. I realized they were struggling with their own issues and projecting their pain onto me. By extending my forgiveness, I was able to let go of my anger and move forward with my life.",19-Apr,1,5,6,6,5,6,1,2,1,6,6,7,3,7,7,6,6,6,6,6,7,5,6,3,3,7,5,6,2,6,4,3,5,4,3,5,6,3,2,34,1,1,15
8,1,for,It's around 10 years ago my girlfriend suddenly decide to break-up  with me. On that time I feel deep shocked because she left me because she got a rich boyfriend. I was speechless. Now already forget her and forgiving her.,"June, 2014",1,7,7,4,6,6,1,6,1,6,6,7,5,7,6,2,6,6,6,6,6,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,34,1,1,15
8,1,for,"One memory that comes to mind happened about 7 years ago. I had a close friend who I had known for several years, and we had always been there for each other through thick and thin. However, one day, she said something very hurtful to me, which left me feeling devastated and betrayed. Initially, I was angry and hurt, and I couldn't imagine ever forgiving her for what she had done. However, as time passed, I began to realize that holding onto my anger and resentment was only hurting me more. So, after much contemplation, I decided to forgive her. We had a heart-to-heart conversation, and I expressed how her words had impacted me.",16-May,1,7,7,7,7,7,6,7,4,7,7,6,7,7,7,7,7,7,7,7,6,6,7,5,4,6,6,7,1,6,3,6,7,6,7,7,7,6,4,34,1,1,15
8,1,for,"I was playing hockey outside with some of they guys on the street. And one of my neighbors did what I thought was a cheap shot on me with the hockey stick so I confronted him asking why he was playing so dirty, He didn't like that and hit me over the head with the hockey stick. Had blood everywhere all over my face. I was very mad at him and didn't talk too him over a month. He ended up apologizing to me so now we are on good terms.","May, 2016",1,7,6,3,5,5,1,6,5,5,5,2,3,7,3,5,6,3,5,6,5,7,1,2,5,7,7,7,1,6,3,5,5,2,2,5,6,2,3,35,1,1,15
8,1,for,"I had been dating someone for a few months, and they suddenly stopped returning my calls and messages without any explanation. I felt confused and hurt by their sudden withdrawal, but after some time had passed, they reached out to me and explained that they had been dealing with personal issues that made it difficult for them to communicate. Despite feeling initially upset and disappointed, I recognized that they were going through a tough time and decided to give them another chance.",22-Apr,1,2,6,5,4,5,1,2,1,6,5,7,5,6,5,7,4,2,4,7,6,2,1,6,5,1,2,7,1,6,6,3,6,4,1,6,2,2,2,36,1,1,15
8,1,for,"When I was ill, a person in my family was very mean and rude to me. I was tired and fatigued and he would constantly bother me. I was the tech support in my family so he always thought I had the energy to help. Only this time, I was exhausted from medical treatments and couldn't bother. It was very difficult dealing with him, and he took offense when I wasn't able to help him. In the end, I let it go  and I'm sure he understands that I do not want to be bothered when I am ill.",15-Mar,1,6,6,3,5,2,2,2,2,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,1,5,4,5,1,6,2,5,6,6,6,6,7,3,2,36,1,2,15
8,1,for,"I pulled up into a left turn lane, while delivering mail in an LLV, when a car turned too wide and crumpled up the front of my vehicle.  My knees went into the steering wheel, my neck whip lashed forward, and my back felt messed up from the seat belt.  I slowly made my way out of the car and checked on the other driver.  She was very upset, so I gave her a hug and told her everything was replaceable and would be okay.  I even let her use my phone to call her mom, and I forgave her right then and there.","June, 2015",1,1,7,7,7,4,1,7,1,6,6,7,1,7,6,7,7,7,5,7,7,2,3,5,3,2,2,7,5,2,7,1,6,5,4,5,7,2,3,36,1,1,15
8,1,for,back in my college I worked in a team of friends and collogues in a Programming club. I had this one particular guy whom used to demean and scream to my face. He used to call me Racial and disabled sllurs while verbally attacking me. He used to say since Im disabled I wouldn't amount to anything more than a burden on society. I was destoryed for years emotionally. I found out he'd been taking credit for my works for almost a year. 3 years ago I finally forgave him and helped him get a job too after finding out he'd been let go.,"june, 2013",1,5,7,4,4,7,1,1,1,5,7,6,3,6,6,6,2,5,5,6,6,2,2,7,2,6,6,7,1,6,1,7,6,5,3,2,6,2,3,36,1,1,15
8,1,for,"There was a night where my spouse stripped and spread themselves out on the bed in wait for me. I did what they wanted, but felt less than great because I didn't feel like I was given a choice in the matter. We talked about it a week or two later and they apologized greatly for hurting me in that way. Nothing like it has happened since.",18-May,1,3,6,5,6,2,1,6,1,6,5,7,2,7,7,7,7,7,2,7,3,2,1,3,2,5,3,7,2,2,2,5,3,6,1,1,6,5,7,37,1,1,15
8,1,for,"My dad booted me out of his house. He was getting remarried. I didn't mind that, but it felt rushed and I was given little warning. After a number of years I got over and we're friendly again.",20-Mar,1,3,4,5,4,3,3,3,3,4,4,5,5,5,5,5,4,4,5,5,5,5,5,5,3,4,4,4,3,4,3,4,4,3,4,4,3,3,3,37,1,1,15
8,1,for,It was a person that was a friend of mine at the time. They betrayed me and left me hanging when i needed help from them in a situation and they ignored my calls and dodged me. It was cowardly and disrepectful after all i had done to help them when they were in need. I learned about the integrity of this person though and our friendship was never the same after that. ,15-Aug,1,6,7,5,4,1,1,1,1,5,5,5,1,5,6,3,1,1,3,5,4,5,1,4,3,4,5,6,1,5,4,4,2,1,1,3,1,1,1,37,1,1,15
8,1,for,I was having an argument with my girlfriend. She implied that she might hook up with someone else. I was very hurt to hear her say that. The next day she apologized and I forgave her.,23-Mar,1,5,5,7,1,1,1,1,1,6,4,7,3,7,6,7,7,7,6,7,5,4,3,3,2,3,1,7,2,4,4,4,6,3,3,5,2,2,2,40,1,1,15
8,1,for,"A friend and I were out hiking and started a conversation about a political topic.  After some discussion, the debate started getting heated.  Eventually we started taking unrelated, personal jabs  at each other, which resulted in my friend pushing me near a rock outcropping.  I ended up slipping and hit my head.  My friend immediately helped me up and apologized.  I instantly forgave him as this was not in his nature.",18-Sep,1,4,6,6,6,6,4,6,2,6,6,6,4,6,6,6,6,7,7,7,7,7,5,4,4,3,1,5,3,5,5,4,6,3,6,6,7,2,2,40,1,1,15
8,1,for,about 6 yeears ago a guy asked to borrow some CDs. he had just moved into the upstairs aparertment from my grannys. well the next time i seen him he invited me up and drugged me. i had a mental breakdown and needed mental care from a professional. In order tro keep my sanity and proceed in life i had to forgive him. he was a drug addict.,"august, 2016",1,7,5,2,6,7,6,7,3,4,3,2,5,3,7,6,6,6,5,6,6,2,6,6,2,3,6,7,2,7,2,5,6,2,6,2,6,6,5,41,1,1,15
8,1,for,"My girlfriend at the time was cheating on me and when I discovered it was pretty bad. She was cruel and berated me like it was my fault for what happened. The breakup was hard and had to leave behind my life with her and get a new place to live. Eventually we talked again and I forgave her for what happened, mostly because I didn't want to carry around that anger anymore.",16-Aug,1,6,7,6,7,5,2,5,2,7,7,7,5,7,7,7,6,6,7,7,7,7,5,6,1,6,7,7,1,7,4,5,6,6,6,7,7,4,3,43,1,1,15
8,1,for,"I was hit by a drunk driver and there were some injuries. After months of being angry for the pain he caused, I now feel sorry for him and have forgiven him. ",22-Aug,1,6,7,7,7,7,2,5,1,6,5,6,4,6,7,6,5,6,7,7,7,7,7,2,1,6,5,7,1,7,3,4,6,2,6,7,1,5,5,44,1,1,15
8,1,for,"In a group of people, a friend introduced me to a lady. As soon as he told me her name, he then told me she was engaged.... implying that me, being single, should be aware of that fact. I felt like it was kind of rude to just assume that was my first priority upon meeting a person, to find out their relationship status, and it hurt me a little. I love my friend, and I know that he had good intentions, but that made the situation awkward and made me feel a little embarrassed. I forgave my friend, but if I have the opportunity in the future, I might tell him about what happened so that he knows to be more careful in the future. ",18-Apr,1,2,7,7,5,7,1,2,1,6,5,7,1,7,7,7,7,7,7,6,5,1,6,1,2,2,1,7,2,7,2,6,7,2,1,1,7,3,1,44,1,1,15
8,1,for,I was hit by a car driven by a woman who had just received her license. She was trying to get into a turn lane to get on the freeway and pulled over right into me. I was slammed into the guard rail along the pedestrian walkway and my car was totaled. I wanted to tear her head off when it happened. My shoulder was damaged and I cracked my sternum. It was several months until I didn't have pain when I moved my core. I ultimately decided it wasn't worth being angry at her because it did me no good. She didn't intentionally hit me and wasn't trying to injure me. I forgave her because it made more sense to forgive than to be angry about someone who made a mistake.,February 11 2016,1,2,6,7,7,7,2,2,1,6,7,7,1,7,7,7,6,6,7,7,6,5,7,1,1,7,7,7,1,7,1,7,7,3,7,6,7,3,2,46,1,1,15
8,1,for,I was engaged to the love of my life and we were set to get married when she suddenly broke it up without an explanation. I later found out it was because I moved to Florida for work and she did not want to move down there with me. We were engaged while both living in NYC and she wanted to maintain that life instead of starting a new one with me. ,15-Sep,1,3,6,6,5,6,2,3,1,6,5,6,5,6,3,4,3,3,5,5,6,5,5,3,2,5,2,7,1,6,3,5,6,5,3,3,3,6,5,46,1,1,15
8,1,for,"Well when I was 20 my cousin Eric you know I went out to a party. At the party, apparently Eric had a little too much to drink in, and he was the one driving. We get halfway home, and he misjudged a turn and runs it to a parked car. The impact messed up my wrist in my right leg in and more than the physical pain of the incident there was there was the emotional scar that came along with it.",Oct-96,1,5,6,5,5,5,3,6,6,6,5,5,3,6,3,3,5,4,5,6,5,4,5,5,2,5,5,6,2,5,3,5,5,2,3,3,3,5,5,47,1,1,15
8,1,for,"My ex wife had borderline personality disorder and would verbally/emotionally abuse me on a regular basis.   I had been a confident, successful career Navy captain and she reduced me to a shadow of what I used to be.  It alienated me and isolated me from my family.   When we finalized our divorce earlier this year I forgave her and gave her well wishes even though I'm still picking up the emotional scraps.",Monthly basis from early 2019 until spring of 2022.  ,1,7,6,2,2,6,2,2,1,3,3,2,7,1,7,7,1,2,5,6,1,1,1,7,1,7,7,7,1,7,1,7,3,6,1,2,7,5,5,51,1,1,15
8,1,for,"I was travelling in a van with about 5 or 6 other guys.  We were competing as a team in the Hood to Coast relay (a running race).  The race went through the night.  At one point I grabbed a cookie in a ziploc bag that was sitting around - I didn't know whose it was, and figured they wouldn't care.  It turned out to belong to a running buddy who just kind of flipped out and whacked me in the chest.  I wasn't sure if he was trying to fight me for real or if he was just messing around, but it got pretty tense there for a moment.  Luckily some of the other guys intervened.  Later, the guy apologized profusely, and said he thought it was just lack of sleep that made him overreact.  So it was easy to forgive him.",18-Aug,1,5,6,5,6,4,2,6,5,6,6,6,3,7,6,7,6,6,7,7,7,7,6,2,3,6,2,7,1,7,5,4,6,4,2,2,7,5,4,53,1,1,15
8,1,for,I and my wife had gotten pretty deep in the drug world we had no kids and it started out as a weekend thing but slowly got out of hand. Soon we could not afford to do it and also pay the bills so we started dealing with this and ended up the way it always does.we were arrested had always told her not to speak without an attorney but she tried to get out of it by telling them everything resulting in my and several of our friends' long prison sentences this hurt me deeply but I forgave her,15-Jul,1,3,6,6,6,6,2,2,2,6,6,6,6,6,6,6,7,6,7,6,7,6,5,6,3,6,6,6,1,7,2,5,6,5,5,5,7,6,2,54,1,1,15
8,1,for,When I was working in a retail store a customer said some mean things to me and verbally assaulted me for no reason. I ended up forgiving him for that one incident after he apologized. I would talk and have normally conversations with them. I ended up letting the incident go and moved on foward with life. ,21-Mar,1,7,7,6,6,6,1,5,1,7,7,6,5,7,7,7,7,7,7,6,5,5,4,6,1,7,2,7,1,6,3,5,5,6,2,5,6,3,1,57,1,1,15
8,1,for,It was a bully from junior high to high school. HE would wait for me everyday to beat me up. Later on in life we became friends..Its over 30 years i know him now.,"October, 1979",1,7,7,7,5,7,1,7,1,7,7,7,1,7,7,7,7,7,7,6,6,7,7,7,1,7,7,7,1,7,1,7,7,7,6,7,7,1,7,57,1,2,15
8,1,for,"I had a friend who was playing a joke on me. He visited my house and when I entered my back yard he came charging at me at full speed. I tried to get out of the way, but i was not fast enough and he hot me with such force that he caused my to fall to the ground and bang my head. I had a severe concussion and had to got to the hospital. I also missed three days of work as a result. I was very angry, but I did end up forgiving him. ","July, 2019",1,3,5,5,5,1,1,7,1,5,5,4,4,5,7,5,5,5,6,6,7,2,5,3,1,6,5,7,1,6,1,4,5,3,3,2,5,5,5,57,1,1,15
8,1,for,"After my marriage ended I met L and over a year's time fell i love. We moved in together and it seemed like everything was great until it wasn't. He adult child lived with us and refused to participate in doing any chores or work around the house. This put a strain on our relationship and we drifted apart. One day I caught her with another man. We split up and at first I didn't want anything to do with her. Eventually I forgave her, but she is still not a regular person in my life.","February, 2017",1,6,7,5,6,3,2,2,2,6,6,6,5,5,7,6,6,6,6,6,6,5,5,5,1,7,7,6,1,7,3,3,6,5,4,7,7,5,5,58,1,1,15
8,1,for,"Oct 2016 my friend/neighbor and I got into an argument about politics, we were both drinking at the time but the argument got very personal and it had a huge effect on our friendship that we didn't talk for 4 years. since then we started talking again and can be be like best friends when we get together, so I think we forgiven each other and we never talk politics or very rarely do.",16-Oct,1,7,7,6,6,6,4,5,4,7,7,7,6,7,7,7,7,7,7,7,7,7,7,4,7,7,6,7,7,7,7,7,7,7,7,7,7,6,3,58,1,1,15
8,1,for,"I was working at a retail store, and I caught an employee stealing.  I confronted the employee, and she said she would take care of it at the end of her shift. I had told my manager of the incident, and he said he would take care of it.  When I returned to work the next day, I was told she had filed a sexual harassment suit against.  My manager did not have my back, and later found out that he coerced her to make this claim.  I forgave him, but never trusted him again.",7/20/10,1,7,6,2,3,3,1,1,1,6,6,6,5,6,6,6,7,7,7,6,6,6,6,4,3,7,7,7,1,6,3,6,7,5,7,7,7,5,5,62,1,1,15
8,1,for,"I am a gay man. I had a partner for 10 years. We had a wonderful time together. We enjoyed each other's company and did a lot of memorable traveling. My children accepted him and his family accepted me. Then, roughly 10 years ago, he announced one night that he no longer loved me and wanted to live alone. This was not expected in any way. He helped me move out of the house and find a new place to live. I was in a state of depression for about 6 months. Thanks to therapy and positive friends, I was able to come out of the depression. I now a my second partner and we have been together for about 10 years.",14-Oct,1,5,7,4,7,7,1,7,1,7,7,7,1,7,7,7,7,7,7,6,6,2,5,4,2,7,7,7,1,7,2,6,7,5,7,7,7,6,5,84,1,1,15
8,1,for,"My ex-boyfriend emotionally harmed me during our relationship by commenting on small things about my physical appearance in a back-handed way. One time, I was telling him how I was unmotivated to go to the gym. Instead of supporting and motivating me, he said I need to start going to the gym more. The way he said it made me feel like I was not physically attractive enough in his eyes. ",22-Dec,1,6,6,7,7,7,1,1,1,7,7,7,6,6,7,7,6,6,6,7,7,5,2,3,2,5,5,7,1,6,1,5,7,6,2,6,6,5,4,20,2,1,15
