Condition,describe,timePerp,w,moral_1,dim_1,color_1,visualDetail_1,sound_1,smell_1,touch_1,taste_1,vivid_1,detail_1,comprehensible_1,complex_1,realistic_1,location_1,setting_1,spatialArrangementOb_1,spatialArrangmentPeo_1,time_1,year_1,season_1,day_1,hour_1,long_1,tone_1,implications_1,implicationsNow_1,felt_1,valenceThen_1,intensityThen_1,valenceNOw_1,intensityNow_1,thoughts_1,reveal_1,before_1,after_1,accuracy_1,oftenThought_1,oftenTALKED_1,age,Gender,Education,language,race,Problems,workerID,attnCheck
noFor,"I remember the time that someone decided to post online that I was a homosexual, and this was untrue. I was appalled that someone so close to one could be so ruthless. I never forgave josh for his careless actions and still do not accept his actions. I will never look back to our friendship",16-Jun,No,6,7,6,6,4,6,3,5,6,7,6,3,7,6,6,6,5,6,6,6,5,6,7,2,5,4,7,3,7,7,7,6,1,7,5,4,5,3,21,male,Some College,english,Other,,A3D70ANCSMGX5F,Yes
noFor,"I moved to this large city with my girlfriend. We were staying with a friend, and shared the rent. We paid 2/3 of it and got the only bedroom. The former friend was very hard to live with and did not make us feel welcome. There was a lot of friction and it really exacerbated my mental health issues. My now fiancee and I don't speak to her anymore and have our own place.","February, 2012",No,6,7,7,7,5,1,1,1,7,6,7,2,7,7,6,6,6,6,5,6,6,7,7,1,6,2,6,1,6,2,2,5,1,5,6,7,3,6,45,Female,Some College,English,"Caucasian/White,Native American/Alaskan",,A2RQMEPIHW5BOS,Yes
noFor,My Mother stole money and lied to me about her whereabouts for 6 months. I eventually found out about it accidentally and was floored. She immediately blocked all contact  and refused any communication. She has never contacted her grandchildren or made any effort to repair the damage she caused. ,"August, 2013",No,7,7,7,7,1,1,1,1,7,6,7,1,7,7,7,7,7,7,7,7,7,7,5,1,7,7,7,1,7,2,5,7,7,7,7,7,5,2,37,Female,Some College,English,Caucasian/White,none,A3FXXVWB4808XQ,Yes
noFor,"Eight years ago, I was in an emotionally and physically abusive relationship. The final incident that caused me to end the relationship was when he and I had an argument about something related to the business that we co-owned together. He pushed me as hard as he could, and I smashed into the door jamb and fell backwards on the floor. I ended up with a concussion and a massive bruise down the entire right side of my arm, hip, and leg. I have never forgiven him, because what he did was absolutely inexcusable.",12-Apr,No,7,7,7,5,5,1,7,1,7,7,5,7,7,7,4,5,5,5,7,7,7,3,3,1,7,7,7,1,7,1,7,7,7,7,7,7,7,4,39,Female,Some College,English,Caucasian/White,,A1DD23J1WBGQUU,Yes
noFor,There was a situation where my older bother started yelling at me for no particular reason. I was in the bathroom cleaning out a bucket full of clothes that had remained soaked for way too long and the smell was unbearable. I then opened the front door to let the smell out of the house and that's when he started yelling because he didn't want the neighbors to know the smell was being emitted from our house. I try my best to avoid to avoid confrontations so I just let it be. My mother came home and immediately took his side. I've never forgave either of them since that day.,18-Aug,No,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,4,7,7,7,7,7,7,7,7,34,Male,4-year College Degree,English,"African American/Black,Latino/Hispanic",No.,A9J08TMK8V55V,Yes
noFor,"A coworker made a very insensitve comment. I quit smoking almost two years ago, and as a result gained some weight. She was sure to point out my weight gain and failed to appreciate the reason for the weight gain. I was very proud to have quit smoking, but she made me feel bad about myself. I think she is jealous because she smokes and doesn't have the willpower to quit.",20-Mar,No,7,7,7,5,7,1,1,1,7,7,7,1,7,7,7,7,7,7,7,7,7,7,3,1,3,3,7,1,7,3,7,7,1,7,7,7,6,4,46,Female,2-year College Degree,English,Caucasian/White,,A3GEHH49HNJM57,Yes
noFor,"Really only one instance comes to mind for this prompt. In high school, when I was 17 (about 7 years ago) I was good friends with a guy at my school. I had started talking to some people at my brothers college nearby, and had a ""crush"" on one of them. When my high school friend found this out, he started making up some pretty disgusting rumors about me and telling my friends that I had done things that I had not done. None of my friends really believed him, and I later found out he was just upset because he liked me, but we never talked it out and would just get in arguments. I never forgave him for what he did. ",13-Feb,No,6,6,7,6,5,1,1,1,6,6,6,2,7,6,7,5,5,2,4,3,2,1,3,3,5,3,6,1,6,3,3,5,3,5,4,6,3,3,24,female,4-year College Degree,English,Asian/Asian American,,A17RFTJ869XGPQ,Yes
noFor,"A teacher at my daughters school accused her of doing something that she did not do. I went to the school and talked to the principal. The principal agreed with the teacher without investigating the matter. Later, the principal apologized to my daughter. I believe she spoke with the teacher too. ",11-Oct,No,5,5,5,5,2,1,2,1,5,6,6,4,6,5,5,5,4,5,6,5,6,6,4,4,6,5,7,3,7,2,3,6,4,5,5,6,2,3,50,female,4-year College Degree,English,African American/Black,,A2EPBSY0VPI38S,Yes
noFor,"There was a time at my old job when I worked for a boss who was extremely condescending and used to single me out alot. One day he came up to me and started demanding deadlines out of me in a really condescending way in front of the rest of my co-workers. I was really humiliated and even spoke up on my behalf but it just provoked him even more. From then on, I couldn't help but have a very negative view of my job and of him, and he even replaced me without notice just a couple of weeks later. ",9-Nov,No,1,7,7,7,7,3,1,1,7,7,7,5,7,7,7,7,6,7,7,7,6,7,6,1,5,5,7,1,7,1,5,7,5,7,7,6,2,2,41,female,4-year College Degree,English,Asian/Asian American,,A1FQK51ECARQNK,Yes
noFor,"I had an abusive work colleague who wrongly criticized me on the work that I had done. They thought I made a careless mistake and blamed me, when all they had to do was make an effort to talk to me, ask me about what they thought was an error, and that would have cleared everything up.

Instead they made a bigger deal out of something that wasn't wrong, tried to use it against me and make my work life harder because of it. I still can't look at this person the same way. Frustrating to even think of it now.",18-Apr,No,6,7,7,5,3,1,1,1,7,6,7,5,7,7,6,2,7,5,5,3,5,3,2,1,6,5,7,1,6,1,5,7,3,7,6,7,3,5,43,Male,4-year College Degree,English,Caucasian/White,"No, good luck with your work.",A53S7J4JGWG38,Yes
noFor,"I had a very close friend, who I had become quite emotionally dependent on. She spent a lot of time talking with me and getting close with me and I thought we had formed a strong bond. She asked my advice about many things and I asked hers. One day, she just stopped talking to me. She stopped responding to me. When she did talk to me, she indicated that she just didn't have time for me. That really hurt, it still does. I was never able to fully forgive her, it feels like a betrayal.","September, 2016",No,6,3,7,7,2,5,1,1,6,3,3,6,4,7,7,3,3,3,3,6,3,2,2,2,7,5,7,1,7,2,6,5,7,6,6,5,7,7,49,male,Some College,English,Caucasian/White,,A3MYPYBVHX7FQ2,Yes
noFor,"my friend wouldn't come pick me up from the homeless shelter i was at in a far away town. it was about an hour away and he wasn't financially constrained or limited by time at all, he was just too lazy. i never forgave him for doing this. it was an absolutely terrible thing to do to me in my distraught state.",18-Jan,No,3,6,7,5,1,1,1,1,5,6,6,3,7,6,6,5,6,6,5,7,6,5,2,2,3,3,7,1,6,2,6,6,4,6,6,7,4,5,32,male,2-year College Degree,English,Caucasian/White,,A171S8E9IFSHH2,Yes
noFor,"I remember one of my roommates for a time had lied to my landlord and the hospital he was at about me. He had said that I gave him drugs that caused him to almost die. This was not true in any way shape or form, and yet he believed it to be true or at least he was lying to them about it. This caused me to get kicked out of my apartment (he also got kicked out) and I have not forgiven him for the events he caused me.",15-Dec,No,5,4,5,4,4,3,4,3,4,4,5,3,3,5,4,4,4,4,5,3,5,4,3,2,5,4,5,2,5,4,3,5,4,4,5,5,4,4,25,male,4-year College Degree,english,Caucasian/White,,A2SOHTPWH4VGP5,Yes
noFor,"I was with my ex and I was raising her child. One night around her birthday, she got really intoxicated and was wanting to drive to another bar. I didn't let her and she assaulted me. I later found out she was cheating on me and that was her way out.","April, 2015",No,7,7,7,7,7,2,7,1,7,4,7,1,7,7,7,7,7,7,7,7,7,7,4,1,7,7,7,1,7,1,7,7,1,7,7,7,7,4,28,female,4-year College Degree,English,Caucasian/White,,A3TUCOUVSP9ZGY,Yes
noFor,"When I was in college, I had suicidal thoughts and attempted suicide in my dorm room. My roommate was there at the time and had to physically stop me. I had to go to a psych ward and did not hear from her afterwards. I felt very abandoned and a lone.",17-Sep,No,6,1,2,5,3,1,5,1,7,5,5,6,6,6,4,3,4,6,5,5,5,3,6,3,7,7,5,1,7,4,4,6,6,6,5,6,6,3,22,Female,Some College,English,African American/Black,,APAWF1D8M2BOM,Yes
